x,y,z,energy
19.980408,20.000000,-6714.000004,1380.000319
19.979856,20.000000,-6713.000004,1380.000319
19.979297,20.000000,-6712.000004,1380.000319
19.978730,20.000000,-6711.000004,1380.000319
19.978155,20.000000,-6710.000004,1380.000319
19.977572,20.000000,-6709.000004,1380.000319
19.976982,20.000000,-6708.000005,1380.000319
19.976384,20.000000,-6707.000005,1380.000319
19.975779,20.000000,-6706.000005,1380.000319
19.975165,20.000000,-6705.000005,1380.000319
19.974545,20.000000,-6704.000005,1380.000319
19.973916,20.000000,-6703.000006,1380.000319
19.973280,20.000000,-6702.000006,1380.000319
19.972636,20.000000,-6701.000006,1380.000319
19.971985,20.000000,-6700.000006,1380.000319
19.971325,20.000000,-6699.000006,1380.000319
19.970658,20.000000,-6698.000007,1380.000319
19.969984,20.000000,-6697.000007,1380.000319
19.969302,20.000000,-6696.000007,1380.000319
19.968612,20.000000,-6695.000007,1380.000319
19.967914,20.000000,-6694.000008,1380.000319
19.967209,20.000000,-6693.000008,1380.000319
19.966496,20.000000,-6692.000008,1380.000319
19.965776,20.000000,-6691.000008,1380.000319
19.965048,20.000000,-6690.000009,1380.000319
19.964312,20.000000,-6689.000009,1380.000319
19.963568,20.000000,-6688.000009,1380.000319
19.962817,20.000000,-6687.000009,1380.000319
19.962058,20.000000,-6686.000010,1380.000319
19.961292,20.000000,-6685.000010,1380.000319
19.960518,20.000000,-6684.000010,1380.000319
19.959736,20.000000,-6683.000011,1380.000319
19.958946,20.000000,-6682.000011,1380.000319
19.958149,20.000000,-6681.000011,1380.000319
19.957344,20.000000,-6680.000012,1380.000319
19.956532,20.000000,-6679.000012,1380.000319
19.955712,20.000000,-6678.000012,1380.000319
19.954884,20.000000,-6677.000013,1380.000319
19.954048,20.000000,-6676.000013,1380.000319
19.953205,20.000000,-6675.000013,1380.000319
19.952354,20.000000,-6674.000014,1380.000319
19.951496,20.000000,-6673.000014,1380.000319
19.950630,20.000000,-6672.000014,1380.000319
19.949756,20.000000,-6671.000015,1380.000319
19.948875,20.000000,-6670.000015,1380.000319
19.947985,20.000000,-6669.000015,1380.000319
19.947089,20.000000,-6668.000016,1380.000319
19.946184,20.000000,-6667.000016,1380.000319
19.945272,20.000000,-6666.000017,1380.000319
19.944352,20.000000,-6665.000017,1380.000319
19.943425,20.000000,-6664.000018,1380.000319
19.942490,20.000000,-6663.000018,1380.000319
19.941547,20.000000,-6662.000018,1380.000319
19.940596,20.000000,-6661.000019,1380.000319
19.939638,20.000000,-6660.000019,1380.000319
19.938673,20.000000,-6659.000020,1380.000319
19.937699,20.000000,-6658.000020,1380.000319
19.936718,20.000000,-6657.000021,1380.000319
19.935729,20.000000,-6656.000021,1380.000319
19.934733,20.000000,-6655.000022,1380.000319
19.933729,20.000000,-6654.000022,1380.000319
19.932717,20.000000,-6653.000023,1380.000319
19.931697,20.000000,-6652.000023,1380.000319
19.930670,20.000000,-6651.000024,1380.000319
19.929636,20.000000,-6650.000024,1380.000319
19.928593,20.000000,-6649.000025,1380.000319
19.927543,20.000000,-6648.000025,1380.000319
