x,z
-231.412201,-6621.229559
-232.395437,-6621.047226
-233.379311,-6620.868361
-234.363808,-6620.692967
-235.348918,-6620.521044
-236.334628,-6620.352596
-237.320926,-6620.187624
-238.307799,-6620.026132
-239.295236,-6619.868119
-240.283224,-6619.713589
-241.271750,-6619.562544
-242.260803,-6619.414985
-243.250370,-6619.270915
-244.240438,-6619.130334
-245.230996,-6618.993245
-246.222032,-6618.859649
-247.213532,-6618.729549
-248.205485,-6618.602945
-249.197878,-6618.479840
-250.190699,-6618.360234
-251.183936,-6618.244130
-252.177575,-6618.131529
-253.171606,-6618.022431
-254.166015,-6617.916840
-255.160790,-6617.814755
-256.155919,-6617.716178
-257.151389,-6617.621110
-258.147189,-6617.529553
-259.143305,-6617.441508
-260.139725,-6617.356975
-261.136437,-6617.275956
-262.133428,-6617.198452
-263.130687,-6617.124463
-264.128200,-6617.053992
-265.125956,-6616.987038
-266.123941,-6616.923602
-267.122144,-6616.863685
-268.120552,-6616.807289
-269.119152,-6616.754413
-270.117933,-6616.705058
-271.116882,-6616.659225
-272.115986,-6616.616915
-273.115233,-6616.578127
-274.114610,-6616.542863
-275.114106,-6616.511123
-276.113707,-6616.482907
-277.113402,-6616.458216
-278.113177,-6616.437050
-279.113021,-6616.419409
-280.112921,-6616.405294
-281.112864,-6616.394704
-282.112839,-6616.387640
-283.112832,-6616.384102
-284.112832,-6616.384089
-285.112825,-6616.387603
-286.112800,-6616.394642
-287.112743,-6616.405207
-288.112644,-6616.419298
-289.112488,-6616.436914
-290.112264,-6616.458055
-291.111959,-6616.482722
-292.111561,-6616.510913
-293.111058,-6616.542628
-294.110436,-6616.577867
-295.109684,-6616.616630
-296.108789,-6616.658915
-297.107739,-6616.704724
-298.106521,-6616.754054
-299.105123,-6616.806905
-300.103532,-6616.863277
-301.101736,-6616.923169
-302.099723,-6616.986580
-303.097480,-6617.053509
-304.094995,-6617.123956
-305.092256,-6617.197920
-306.089249,-6617.275399
-307.085963,-6617.356393
-308.082386,-6617.440901
-309.078504,-6617.528922
-310.074305,-6617.620454
-311.069778,-6617.715497
-312.064909,-6617.814050
-313.059687,-6617.916110
-314.054099,-6618.021677
-315.048132,-6618.130750
-316.041774,-6618.243327
-317.035014,-6618.359406
-318.027838,-6618.478987
-319.020234,-6618.602068
-320.012190,-6618.728647
-321.003693,-6618.858723
-321.994732,-6618.992294
-322.985294,-6619.129358
-323.975366,-6619.269915
-324.964936,-6619.413961
-325.953993,-6619.561495
-326.942523,-6619.712516
-327.930514,-6619.867021
-328.917955,-6620.025009
-329.904832,-6620.186478
-330.891134,-6620.351425
-331.876848,-6620.519848
-332.861962,-6620.691746
-333.846464,-6620.867117
-334.830342,-6621.045957
-335.813583,-6621.228266
-336.796175,-6621.414040
-337.778106,-6621.603277
-338.759363,-6621.795976
-339.739935,-6621.992133
-340.719809,-6622.191746
-341.698974,-6622.394813
-342.677416,-6622.601331
-343.655124,-6622.811298
-344.632085,-6623.024711
-345.608288,-6623.241567
-346.583721,-6623.461863
-347.558370,-6623.685598
-348.532225,-6623.912768
-349.505273,-6624.143369
-350.477501,-6624.377401
-351.448899,-6624.614859
-352.419453,-6624.855740
-353.389151,-6625.100042
-354.357983,-6625.347761
-355.325934,-6625.598895
-356.292995,-6625.853441
-357.259152,-6626.111394
-358.224393,-6626.372752
-359.188707,-6626.637512
-360.152081,-6626.905671
-361.114504,-6627.177225
-362.075963,-6627.452170
-363.036447,-6627.730503
-363.995944,-6628.012222
-364.954441,-6628.297321
-365.911927,-6628.585799
-366.868390,-6628.877650
-367.823818,-6629.172873
-368.778199,-6629.471462
-369.731522,-6629.773414
-370.683774,-6630.078726
-371.634943,-6630.387393
-372.585019,-6630.699412
-373.533988,-6631.014779
-374.481839,-6631.333490
-375.428561,-6631.655541
-376.374141,-6631.980929
-377.318569,-6632.309648
-378.261831,-6632.641695
-379.203917,-6632.977065
-380.144814,-6633.315756
-381.084511,-6633.657761
-382.022997,-6634.003078
-382.960259,-6634.351702
-383.896286,-6634.703628
-384.831067,-6635.058853
-385.764589,-6635.417371
-386.696841,-6635.779178
-387.627812,-6636.144270
-388.557490,-6636.512642
